事業者,物件名,都道府県,住所,収容台数,円per時,最大料金_24時間,最大料金_夜間,緯度,経度,取得日時,URL
NPC,NPC24H南台第1パーキング,東京都,東京都中野区南台5-8-4,6,330,1600,,35.68177452,139.6637699,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H代沢第2パーキング,東京都,東京都世田谷区代沢5-18-1,6,800,,2200,35.65691956,139.6674338,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/689
NPC,NPC24H田園調布1丁目パーキング,東京都,東京都大田区田園調布1-2-1,14,660,1600,400,35.58854215,139.6764469,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/688
NPC,NPC24H練馬北町7丁目パーキング,東京都,東京都練馬区北町7-6,8,440,800,400,35.76072783,139.6519347,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H大宮宮町第2パーキング,埼玉県,埼玉県さいたま市大宮区宮町5-47隣,32,480,1600,900,35.91119802,139.6236427,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H田園調布本町パーキング,東京都,東京都大田区田園調布本町49-2,5,660,1000,300,35.58845854,139.67683542,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/688
NPC,NPC24H早宮パーキング,東京都,東京都練馬区早宮3-10-12,9,330,1200,500,35.75157703,139.6537007,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H鶴見中央三丁目立体パーキング,神奈川県,神奈川県横浜市鶴見区鶴見中央3-17-1,365,440,600,,35.50823563,139.68587605,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/14/742
NPC,中野セントラルパークサウスパーキング,東京都,東京都中野区中野4-10-2,133,900,2400,,35.70665919,139.6611228,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H豊玉北第13パーキング,東京都,東京都練馬区豊玉北4-30,5,1100,,500,35.73474903,139.65681361,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H豊玉北第2パーキング,東京都,東京都練馬区豊玉北5-4-6,7,660,1700,700,35.73595916,139.6566337,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H北沢5丁目第2パーキング,東京都,東京都世田谷区北沢5-43-10,2,660,,500,35.67154245,139.6665207,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/689
NPC,NPC24H大宮宮町第3パーキング,埼玉県,埼玉県さいたま市大宮区宮町4-19,9,440,1500,1000,35.91058106,139.62458151,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H練馬パーキング,東京都,東京都練馬区練馬2-31,4,440,900,,35.74487559,139.6555757,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H大宮吉敷町1丁目パーキング,埼玉県,埼玉県さいたま市大宮区吉敷町1丁目43番8,12,330,1300,800,35.9012267,139.6276457,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H新中里4丁目パーキング,埼玉県,埼玉県さいたま市中央区新中里4-5-7,7,660,800,400,35.8771348,139.632637,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/548
NPC,NPC24H中野本町第3パーキング,東京都,東京都中野区本町6-22-6,11,440,,500,35.69624633,139.664423,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H大宮仲町2丁目第2パーキング,埼玉県,埼玉県さいたま市大宮区仲町2-27,107,1200,,,35.90557233,139.62716151,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H大宮駅東口パーキング,埼玉県,埼玉県さいたま市大宮区下町1-58,218,400,1400,,35.90286341,139.6277258,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H大宮仲町2丁目パーキング,埼玉県,埼玉県さいたま市大宮区下町2丁目1-1付近,24,400,,,35.90439916,139.6276448,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,中野セントラルパークイーストパーキング,東京都,東京都中野区中野4-10-1,21,900,2800,,35.70818142,139.6629726,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H桜台第4パーキング,東京都,東京都練馬区桜台5-45,7,220,800,300,35.74477764,139.6573734,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H早宮2丁目パーキング,東京都,東京都練馬区早宮2-16-35,14,440,700,400,35.75667657,139.6556308,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H大宮下町第3パーキング,埼玉県,埼玉県さいたま市大宮区下町2丁目29番地,10,,1600,1400,35.90386158,139.6282145,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H中浦和駅東口パーキング,埼玉県,埼玉県さいたま市南区鹿手袋1,40,200,500,,35.85895972,139.6373677,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/551
NPC,NPC24H江古田第9パーキング,東京都,東京都中野区江古田4-32-1,4,660,1200,400,35.72391679,139.6613389,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H大宮下町第2パーキング,埼玉県,埼玉県さいたま市大宮区下町2丁目25付近,4,440,2700,900,35.90401229,139.6286922,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H大宮下町パーキング,埼玉県,埼玉県さいたま市大宮区下町2丁目32-2付近,5,440,2700,900,35.90392758,139.6288187,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H中野弥生町パーキング,東京都,東京都中野区弥生町5-10-2,11,800,2200,500,35.68738445,139.6672377,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H新井第8パーキング,東京都,東京都中野区新井2-22,2,660,2300,500,35.71211967,139.6636733,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H三宿第1パーキング,東京都,東京都世田谷区三宿1-25-5,3,990,3500,400,35.64865349,139.6729208,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/689
NPC,NPC24H沼袋パーキング,東京都,東京都中野区沼袋3-4-4,16,440,1300,500,35.71883777,139.6628713,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H中野本町第2パーキング,東京都,東京都中野区本町5-48,4,990,2700,500,35.6938566,139.6680192,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H中野中央パーキング,東京都,東京都中野区中央4-27-7,18,990,2100,600,35.70160241,139.6668973,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H大宮吉敷町4丁目パーキング,埼玉県,埼玉県さいたま市大宮区吉敷町4丁目108,6,220,1100,500,35.89880355,139.6318369,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H大宮大門町3丁目パーキング,埼玉県,埼玉県さいたま市大宮区大門町3-108,24,1200,1300,600,35.90780783,139.63004723,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H北沢5丁目パーキング,東京都,東京都世田谷区北沢5-27-10,3,990,2800,400,35.67104867,139.672154,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/689
NPC,NPC24H新井パーキング,東京都,東京都中野区新井1-8,6,800,2800,900,35.71046146,139.6666373,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H大宮東町第3パーキング,埼玉県,埼玉県さいたま市大宮区東町一丁目128の隣,7,330,1200,600,35.90595804,139.6318329,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/546
NPC,NPC24H大宮盆栽町パーキング,埼玉県,埼玉県さいたま市北区盆栽町480-2,30,220,550,200,35.92798968,139.627307,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/545
NPC,NPC24H新高島平パーキング,東京都,東京都板橋区高島平7-13,21,480,1300,,35.79044515,139.654271,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/696
NPC,NPC24H新井第7パーキング,東京都,東京都中野区新井1-36-10,7,990,,500,35.71322557,139.6671591,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H高島平7丁目パーキング,東京都,東京都板橋区高島平7-34-5,6,220,1000,500,35.79231924,139.6542005,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/696
NPC,NPC24H与野駅西口パーキング,埼玉県,埼玉県さいたま市中央区下落合（大字）1051-2,9,300,,500,35.884142,139.637435,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/548
NPC,NPC24H高島平7丁目第2パーキング,東京都,東京都板橋区高島平7-32,22,220,,800,35.79198822,139.654805,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/696
NPC,NPC24H川崎南幸町パーキング,神奈川県,神奈川県川崎市幸区南幸町2-18,2,990,,600,35.53202388,139.6918214,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/14/762
NPC,NPC24H江古田第8パーキング,東京都,東京都中野区江古田3-9-18,6,880,1600,500,35.72664271,139.6670836,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H川崎区日進町パーキング,神奈川県,神奈川県川崎市川崎区日進町3-7,86,400,1300,500,35.52698691,139.6937476,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/14/761
NPC,NPC24H鷹番3丁目パーキング,東京都,東京都目黒区鷹番3-20-13,3,600,2400,500,35.62947962,139.6819651,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/687
NPC,NPC24H池尻第2パーキング,東京都,東京都世田谷区池尻2-36-8,6,990,,500,35.64794631,139.6804571,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/689
NPC,NPC24H川崎区京町パーキング,神奈川県,神奈川県川崎市川崎区京町2-12,4,330,1200,500,35.51485429,139.6961859,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/14/761
NPC,NPC24H上高田第4パーキング,東京都,東京都中野区上高田2-21-12,2,880,2000,400,35.71428592,139.6709293,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H新井第3パーキング,東京都,東京都中野区新井5-28-1,5,660,,500,35.71607919,139.6707306,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H武蔵浦和第5パーキング,埼玉県,埼玉県さいたま市南区白幡5-13,35,480,800,400,35.84272499,139.64928197,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/551
NPC,NPC24H氷川台パーキング,東京都,東京都練馬区氷川台4-35-11,8,440,1600,500,35.75584835,139.6650358,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H江原町第4パーキング,東京都,東京都中野区江原町2-1-1,7,300,1400,500,35.72805218,139.6697101,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/691
NPC,NPC24H矢口第1パーキング,東京都,東京都大田区矢口1-20-15,5,440,1400,600,35.56615569,139.6920349,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/688
NPC,NPC24H川崎浅田第5パーキング,神奈川県,神奈川県川崎市川崎区浅田3-16-14,4,528,1200,,35.50580473,139.6991064,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/14/761
NPC,NPC24H埼玉県庁西パーキング,埼玉県,埼玉県さいたま市浦和区高砂三丁目37番1の一部,40,600,1400,,35.85803039,139.6479623,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/550
NPC,NPC24H江古田第3パーキング,東京都,東京都練馬区豊玉上1-25-4,6,660,,400,35.7364722,139.6695022,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H浦和常盤パーキング,埼玉県,埼玉県さいたま市浦和区常盤5丁目15-1,14,440,1000,,35.86574326,139.6466133,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/550
NPC,NPC24H池尻2丁目パーキング,東京都,東京都世田谷区池尻2-2-10,3,880,,500,35.64729674,139.6828179,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/689
NPC,NPC24H江古田第5パーキング,東京都,東京都練馬区栄町46-19,14,660,1400,500,35.74068135,139.669425,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H川崎浅田第3パーキング,神奈川県,神奈川県川崎市川崎区浅田3-17-2,11,440,1400,700,35.50678989,139.6999194,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/14/761
NPC,NPC24H武蔵浦和第3パーキング,埼玉県,埼玉県さいたま市南区白幡3-14-18,19,220,700,200,35.8475773,139.6509758,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/551
NPC,NPC24H北浦和第4パーキング,埼玉県,埼玉県さいたま市浦和区常盤9丁目18-19,4,660,,600,35.8707545,139.6465358,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/550
NPC,NPC24H江古田第11パーキング,東京都,東京都練馬区豊玉上1-10-8,7,1320,,,35.73649631,139.671003,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H上原第2パーキング,東京都,東京都渋谷区上原2-42-21,7,1100,,500,35.66679759,139.6815305,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/690
NPC,三宿病院専用駐車場,東京都,東京都目黒区上目黒5丁目33-12,41,,,,35.64174829,139.68518773,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/687
NPC,NPC24H北浦和第2パーキング,埼玉県,埼玉県さいたま市浦和区北浦和1-2-5,16,900,1500,700,35.87330237,139.6469376,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/11/550
NPC,NPC24H渋谷スポーツセンター前パーキング,東京都,東京都渋谷区西原1-11,23,720,2800,500,35.67508233,139.6807969,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/690
NPC,NPC24H代々木上原駅前パーキング,東京都,東京都渋谷区西原3-6-3,4,1320,,,35.670332,139.6815137,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/690
NPC,NPC24H川崎浅田第4パーキング,神奈川県,神奈川県川崎市川崎区浅田3-8,5,330,1300,,35.50701081,139.7014565,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/14/761
NPC,NPC24H東京都立荏原病院駐車場,東京都,東京都大田区東雪谷4-5-10,245,1200,,,35.59376657,139.69203906,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/688
NPC,NPC24H渋谷本町第2パーキング,東京都,東京都渋谷区本町6-1-20,7,660,,500,35.68257566,139.6804687,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/690
NPC,NPC24H徳丸パーキング,東京都,東京都板橋区徳丸1-3,14,660,1600,600,35.76828379,139.6672421,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/696
NPC,NPC24H羽沢第3パーキング,東京都,東京都練馬区羽沢1-1-8,7,660,,500,35.7406876,139.6724181,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H羽沢第5パーキング,東京都,東京都練馬区羽沢1-16-11,8,660,1200,300,35.74231671,139.6721585,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
NPC,NPC24H旭丘第14パーキング,東京都,東京都練馬区旭丘1-68,6,1000,,500,35.73592962,139.6734168,2026-06-30T09:04:43.349Z,https://parking.npc-npc.co.jp/p/13/697
